#hanzi kanji
词	詞
忧	憂
筛	篩
丝	絲
铆	鉚
时	時
鹏	鵬
鹬	鷸
谁	誰
鸡	鶏
陇	隴
尘	塵
涤	滌
启	啓
洁	潔
岗	崗
恼	悩
勋	勲
润	潤
赈	賑
颔	頷
钺	鉞
镡	鐔
诫	誡
诲	誨
诊	診
闻	聞
鱼	魚
赐	賜
驴	驢
屿	嶼
锣	鑼
癣	癬
闩	閂
蹒	蹣
荣	栄
华	華
显	顕
讼	訟
錾	鏨
仓	倉
继	繼
鹤	鶴
竖	豎
产	産
证	證
驮	馱
鹪	鷦
驻	駐
赀	貲
缉	緝
渍	漬
箫	簫
阈	閾
娴	嫻
岛	島
腻	膩
骤	驟
泽	沢
寝	寢
锖	錆
峥	崢
篑	簣
谔	諤
铳	銃
跄	蹌
硗	磽
续	續
兴	興
辑	輯
宠	寵
筚	篳
舱	艙
诗	詩
琐	瑣
闪	閃
单	単
协	協
谄	諂
驹	駒
隐	隠
丝	糸
缝	縫
锷	鍔
纸	紙
缨	纓
虑	慮
莲	蓮
拟	擬
鲁	魯
殒	殞
乡	郷
彻	徹
馈	饋
禅	禪
仟	千
齿	齒
损	損
烧	燒
涂	塗
忏	懺
过	過
绝	絶
滤	濾
缈	緲
籁	籟
弥	彌
十	拾
传	伝
谧	謐
铗	鋏
势	勢
轧	軋
则	則
发	発
闼	闥
鳟	鱒
缎	緞
馆	館
锡	錫
与	與
览	覽
约	約
昙	曇
觞	觴
龉	齬
卫	衛
斩	斬
颤	顫
驳	駁
狈	狽
诸	諸
锵	鏘
显	顯
惠	恵
轴	軸
贩	販
呗	唄
丧	喪
费	費
镝	鏑
惫	憊
缆	纜
国	國
陷	陥
难	難
讥	譏
饭	飯
库	庫
隶	隷
饯	餞
莺	鶯
鳅	鰍
摄	攝
据	拠
贮	貯
叶	葉
赁	賃
闵	閔
樱	桜
脸	臉
涩	澀
阉	閹
抢	搶
辩	弁
缧	縲
後	后
翘	翹
哗	嘩
馑	饉
刭	剄
谐	諧
孙	孫
释	釈
际	際
芜	蕪
聪	聰
龊	齪
财	財
榄	欖
变	變
伫	佇
庑	廡
骇	駭
斋	斎
霁	霽
笔	筆
决	決
收	収
触	觸
搅	攪
订	訂
荞	蕎
妆	粧
廪	廩
辫	辮
韩	韓
玛	瑪
诨	諢
骥	驥
栌	櫨
围	囲
颈	頸
鲋	鮒
六	陸
业	業
罗	羅
贰	貳
职	職
阏	閼
晚	晩
谤	謗
蔺	藺
纰	紕
语	語
规	規
髅	髏
驿	驛
诘	詰
笃	篤
轲	軻
鲨	鯊
谙	諳
茧	繭
贸	貿
凫	鳧
缚	縛
继	継
镒	鎰
讫	訖
圆	円
伦	倫
贼	賊
铊	鉈
货	貨
桤	榿
罚	罸
杂	雑
调	調
铣	銑
镫	鐙
龛	龕
择	擇
荐	薦
敛	斂
灭	滅
亩	畝
劝	勧
赙	賻
冲	衝
缪	繆
贬	貶
飞	飛
龆	齠
莴	萵
绳	縄
晓	曉
舍	捨
肾	腎
获	穫
鸨	鴇
败	敗
设	設
轸	軫
涡	渦
茎	莖
厌	厭
颁	頒
种	種
跸	蹕
厅	廳
干	乾
观	観
团	團
绐	紿
穗	穂
给	給
侣	侶
钳	鉗
殴	毆
悭	慳
觌	覿
宪	憲
婴	嬰
欧	歐
盘	盤
潇	瀟
鸦	鴉
钟	鍾
骚	騒
雾	霧
呙	咼
进	進
项	項
赂	賂
热	熱
颇	頗
绷	繃
页	頁
系	係
凯	凱
恳	懇
脓	膿
缭	繚
应	応
谲	譎
鹊	鵲
码	碼
额	額
绳	繩
胫	脛
谴	譴
烧	焼
贞	貞
疬	癧
贽	贄
赌	賭
骡	騾
愤	憤
壳	殼
钉	釘
颖	穎
动	動
矿	礦
马	馬
绯	緋
鹈	鵜
锥	錐
谶	讖
险	険
乌	烏
渔	漁
丰	豊
历	暦
镞	鏃
废	廃
验	驗
觅	覓
鸢	鳶
鸱	鴟
皑	皚
几	幾
饰	飾
墙	牆
假	仮
鸠	鳩
议	議
县	縣
瞒	瞞
蕴	蘊
药	薬
长	長
胀	脹
肠	腸
桦	樺
鸾	鸞
铜	銅
恶	惡
颞	顳
犊	犢
轹	轢
溃	潰
粮	糧
泷	瀧
邻	隣
诂	詁
飨	饗
闭	閉
骁	驍
奂	奐
监	監
鸷	鷙
绶	綬
场	場
览	覧
鹄	鵠
辂	輅
顺	順
龃	齟
宫	宮
钢	鋼
泻	瀉
龄	齡
贺	賀
异	異
护	護
铸	鑄
烁	爍
计	計
赔	賠
钣	鈑
谋	謀
释	釋
渖	瀋
齐	齊
伪	偽
锱	錙
资	資
濒	瀕
皲	皸
锄	鋤
绒	絨
卖	賣
陆	陸
涩	渋
经	経
师	師
关	關
质	質
让	讓
浓	濃
垒	塁
寻	尋
粪	糞
觏	覯
荟	薈
帏	幃
绘	絵
兹	茲
骆	駱
确	確
驷	駟
鲜	鮮
闺	閨
专	専
堑	塹
晖	暉
丛	叢
贳	貰
骋	騁
溪	渓
广	広
阪	坂
骖	驂
鲲	鯤
缲	繰
贵	貴
读	読
蛎	蠣
云	雲
杀	殺
阳	陽
诰	誥
榈	櫚
鸪	鴣
顶	頂
蓟	薊
晕	暈
杂	雜
枢	樞
摄	摂
赵	趙
鹧	鷓
霭	靄
纵	縱
价	価
毕	畢
莹	瑩
软	軟
媪	媼
渐	漸
诉	訴
见	見
讣	訃
桠	椏
转	轉
锅	鍋
阎	閻
辕	轅
魇	魘
呐	吶
躏	躪
镐	鎬
频	頻
仪	儀
条	條
愿	願
泽	澤
邮	郵
龈	齦
挤	擠
呓	囈
鸵	鴕
对	対
岂	豈
坞	塢
试	試
总	総
绫	綾
颐	頤
惊	驚
邹	鄒
绰	綽
纵	縦
鉴	鑑
铁	鉄
击	撃
潜	潛
馔	饌
关	関
诽	誹
傥	儻
赛	賽
铎	鐸
诈	詐
浒	滸
维	維
闰	閏
遥	遙
标	標
苍	蒼
颠	顛
髓	髄
窥	窺
迟	遲
纺	紡
浊	濁
征	徴
仆	僕
军	軍
谡	謖
蜗	蝸
纭	紜
鲆	鮃
鲑	鮭
径	徑
归	帰
舆	輿
珲	琿
绻	綣
泸	瀘
鲤	鯉
穑	穡
颗	顆
鹎	鵯
硕	碩
辅	輔
细	細
纬	緯
贫	貧
侧	側
侦	偵
剂	剤
脑	脳
讶	訝
粹	粋
药	藥
骈	駢
惯	慣
农	農
饨	飩
扰	擾
胁	脅
揽	攬
栉	櫛
盏	盞
赚	賺
苌	萇
诱	誘
锹	鍬
旧	舊
择	択
俭	倹
绎	繹
蚬	蜆
祸	禍
驼	駝
讳	諱
匮	匱
瞩	矚
苎	苧
蔼	藹
谢	謝
赃	贓
锤	錘
鞑	韃
凑	湊
输	輸
骠	驃
诏	詔
钲	鉦
学	學
酿	釀
铉	鉉
痉	痙
鲈	鱸
满	滿
缠	纏
扪	捫
园	園
读	讀
毂	轂
佥	僉
辙	轍
麸	麩
渗	滲
驱	駆
黉	黌
崭	嶄
铺	鋪
惮	憚
亚	亜
怀	懐
浔	潯
贪	貪
儿	児
课	課
枭	梟
郸	鄲
无	無
俭	儉
锋	鋒
传	傳
侥	僥
胜	勝
缟	縞
靥	靨
萤	螢
窝	窩
阒	闃
奁	奩
骓	騅
谬	謬
忾	愾
范	範
嗫	囁
褴	襤
赞	贊
睑	瞼
妇	婦
总	總
轭	軛
钝	鈍
剀	剴
鸫	鶇
风	風
饴	飴
鲱	鯡
极	極
脏	臓
赏	賞
闷	悶
陈	陳
鹃	鵑
挥	揮
镊	鑷
恒	恆
链	鏈
艰	艱
偿	償
鲧	鯀
报	報
贝	貝
谜	謎
笕	筧
拣	揀
荚	莢
轩	軒
迈	邁
沧	滄
涣	渙
浇	澆
蝾	蠑
环	環
苇	葦
论	論
颂	頌
绗	絎
听	聴
营	営
译	譯
铄	鑠
坏	壊
禄	祿
蚀	蝕
谚	諺
赍	齎
槛	檻
饿	餓
灿	燦
肃	肅
炀	煬
销	銷
贯	貫
缺	欠
边	辺
赉	賚
盐	鹽
绪	緒
证	証
钓	釣
潴	瀦
伛	傴
缛	縟
挚	摯
剂	劑
缦	縵
仙	僊
戋	戔
泪	涙
锚	錨
萨	薩
镜	鏡
谮	譖
蓣	蕷
爱	愛
养	養
请	請
贾	賈
悯	憫
夸	誇
荫	蔭
馏	餾
践	踐
阑	闌
岁	歳
垦	墾
练	練
陕	陝
龙	竜
志	誌
适	適
茔	塋
询	詢
线	線
泞	濘
毙	斃
砾	礫
豫	予
涧	澗
虏	虜
饮	飲
栏	欄
窑	窯
稳	穏
惨	慘
邻	鄰
獭	獺
辔	轡
饵	餌
许	許
兰	蘭
铸	鋳
镘	鏝
盗	盜
贷	貸
压	圧
陨	隕
谈	談
惭	慚
侬	儂
导	導
莼	蓴
俪	儷
态	態
骊	驪
闹	鬧
迟	遅
砚	硯
值	値
蛊	蠱
轾	輊
绍	紹
牍	牘
抚	撫
纣	紂
晔	曄
绥	綏
铨	銓
骄	驕
张	張
齿	歯
铺	舗
垩	堊
诹	諏
岚	嵐
飙	飆
谟	謨
呕	嘔
鳌	鰲
阶	階
锭	錠
诞	誕
跃	躍
奋	奮
坚	堅
聍	聹
铅	鉛
济	濟
卢	盧
麴	麹
魉	魎
纪	紀
浆	漿
缥	縹
啭	囀
枣	棗
箧	篋
艺	藝
耸	聳
头	頭
晓	暁
疮	瘡
纽	紐
轻	軽
缄	緘
辍	輟
轳	轤
薮	藪
诺	諾
脐	臍
驰	馳
检	檢
鳃	鰓
觐	覲
选	選
鸩	鴆
韬	韜
闯	闖
殁	歿
简	簡
雠	讎
辖	轄
奥	奧
汤	湯
现	現
轶	軼
绛	絳
怆	愴
只	隻
员	員
抟	摶
铙	鐃
剧	劇
鹞	鷂
胧	朧
鲽	鰈
栈	棧
辩	辯
谣	謡
骧	驤
弹	弾
处	処
奖	獎
扩	拡
围	圍
织	織
诚	誠
谩	謾
众	衆
捣	搗
绁	紲
饬	飭
鬓	鬢
谕	諭
龄	齢
牵	牽
捌	八
诀	訣
毁	毀
寸	吋
倾	傾
鹘	鶻
谘	諮
颅	顱
烦	煩
鸭	鴨
鲻	鯔
忆	憶
驶	駛
负	負
袭	襲
鹅	鵝
喷	噴
废	廢
从	従
咛	嚀
一	壹
气	気
叠	畳
债	債
诒	詒
骚	騷
悬	懸
遗	遺
巩	鞏
狭	狹
宽	寬
龌	齷
鲇	鮎
义	義
干	幹
纹	紋
岖	嶇
怅	悵
赖	頼
埚	堝
桡	橈
著	着
鳢	鱧
闲	閑
罚	罰
井	丼
聂	聶
颃	頏
壤	壌
颧	顴
补	補
滨	浜
觉	覺
缅	緬
获	獲
纲	綱
绿	緑
颜	顏
执	執
乐	楽
鸽	鴿
飘	飄
预	預
扩	擴
谵	譫
罴	羆
沥	瀝
阅	閲
矶	磯
腽	膃
恸	慟
拨	撥
龀	齔
唤	喚
严	嚴
埘	塒
於	于
绢	絹
样	様
锢	錮
驭	馭
斗	鬪
厕	廁
镀	鍍
吓	嚇
讯	訊
帅	帥
残	殘
潋	瀲
纤	纖
轨	軌
评	評
竞	競
湿	濕
驾	駕
诔	誄
罢	罷
镇	鎮
阀	閥
滥	濫
鹑	鶉
齑	齏
带	帶
鳇	鰉
辘	轆
枪	槍
藏	蔵
帜	幟
铁	鐵
饷	餉
溅	濺
亚	亞
厅	庁
踌	躊
壶	壺
绕	繞
刍	芻
癫	癲
千	仟
疗	療
鹭	鷺
权	権
谣	謠
颦	顰
递	逓
缘	縁
悫	愨
裆	襠
莸	蕕
后	後
沦	淪
贤	賢
锻	鍛
钮	鈕
浃	浹
浑	渾
赆	贐
辨	弁
鹦	鸚
剑	劍
阁	閣
肤	膚
闾	閭
贰	弍
违	違
狱	獄
讴	謳
狞	獰
赠	贈
骞	騫
车	車
阙	闕
汉	漢
胪	臚
鹫	鷲
粝	糲
诟	詬
呜	嗚
吒	咤
讧	訌
绩	績
钱	錢
钵	鉢
惩	懲
针	針
阖	闔
诣	詣
痈	癰
懑	懣
厢	廂
经	經
骀	駘
备	備
缓	緩
摇	搖
脑	腦
栈	桟
鸟	鳥
庆	慶
团	団
鲂	魴
庄	荘
桥	橋
卖	売
鲷	鯛
鹗	鶚
辄	輒
冯	馮
淀	澱
绮	綺
兽	獣
萧	蕭
谭	譚
岭	嶺
离	離
舣	艤
灵	霊
轼	軾
峡	峽
龋	齲
褛	褸
驱	驅
讨	討
猎	獵
类	類
坟	墳
砖	磚
诤	諍
阋	鬩
馅	餡
伟	偉
殇	殤
蔷	薔
藓	蘚
谨	謹
砺	礪
辐	輻
辏	輳
珑	瓏
认	認
拜	拝
衬	襯
濑	瀬
录	録
缬	纈
节	節
饱	飽
纠	糾
矾	礬
谦	謙
营	營
责	責
达	達
雳	靂
痨	癆
鳗	鰻
缔	締
验	験
准	準
牺	犠
来	來
垄	壟
鲵	鯢
币	幣
锺	鍾
复	復
鲔	鮪
骂	罵
茕	煢
亲	親
笼	籠
扬	揚
窍	竅
枥	櫪
柠	檸
叹	嘆
俨	儼
远	遠
篮	籃
鲍	鮑
碎	砕
罂	罌
记	記
剑	剣
辆	輛
诮	誚
骗	騙
碛	磧
疡	瘍
梦	夢
喜	憙
谊	誼
绅	紳
吕	呂
荦	犖
钞	鈔
谏	諫
绽	綻
诃	訶
谛	諦
鉴	鑒
跻	躋
茏	蘢
骑	騎
电	電
块	塊
紧	緊
谅	諒
顽	頑
实	実
铭	銘
蝇	蠅
贴	貼
拥	擁
黩	黷
觊	覬
鸣	鳴
醉	酔
只	祇
饥	飢
访	訪
韦	韋
层	層
拂	払
迁	遷
阐	闡
歼	殲
尧	堯
训	訓
颍	潁
龙	龍
测	測
懔	懍
钗	釵
欢	歓
钱	銭
说	説
钿	鈿
买	買
拾	十
绀	紺
辇	輦
觋	覡
务	務
辎	輜
丽	麗
凿	鑿
转	転
扫	掃
诠	詮
纳	納
书	書
骐	騏
绸	綢
铛	鐺
识	識
胶	膠
谍	諜
镌	鐫
汩	汨
鹜	鶩
窭	窶
圆	圓
战	戦
红	紅
谝	諞
赘	贅
帐	帳
亿	億
飓	颶
荨	蕁
诙	詼
饺	餃
窦	竇
黑	黒
术	術
敌	敵
县	県
蓦	驀
里	裏
樯	檣
荠	薺
镦	鐓
爷	爺
顷	頃
宁	寧
举	挙
缩	縮
矿	鉱
错	錯
复	複
佛	仏
绾	綰
锦	錦
烂	爛
圹	壙
畴	疇
纤	繊
殚	殫
秽	穢
姬	姫
临	臨
谒	謁
样	樣
冻	凍
处	處
牺	犧
阔	闊
懒	懶
壹	一
鸳	鴛
刚	剛
吨	噸
树	樹
制	製
贲	賁
贱	賤
笺	箋
钦	欽
鹩	鷯
莳	蒔
济	済
们	們
缀	綴
炽	熾
纶	綸
酿	醸
绞	絞
卤	鹵
炫	衒
鲶	鯰
虽	雖
伞	傘
圣	聖
诡	詭
镣	鐐
饶	饒
诅	詛
凛	凜
饼	餅
谥	謚
椠	槧
视	視
辉	輝
钻	鑽
赡	贍
严	厳
鳍	鰭
险	險
劲	勁
踯	躑
个	箇
铫	銚
纯	純
驽	駑
纷	紛
坠	墜
缗	緡
仑	侖
誊	謄
慑	懾
阄	鬮
艺	芸
穷	窮
瓣	弁
绊	絆
栋	棟
机	機
锯	鋸
续	続
啧	嘖
椭	橢
审	審
娘	嬢
钴	鈷
痫	癇
谪	謫
椁	槨
怃	憮
璎	瓔
鲸	鯨
还	還
绚	絢
沟	溝
误	誤
丑	醜
顿	頓
锁	鎖
雏	雛
齐	斉
疠	癘
响	響
辗	輾
舰	艦
鳆	鰒
龠	籥
疟	瘧
观	觀
铃	鈴
图	図
暂	暫
暧	曖
馀	餘
橼	櫞
诳	誑
罐	缶
挠	撓
筹	籌
讽	諷
讷	訥
讹	訛
鹰	鷹
飒	颯
颉	頡
满	満
赢	贏
呒	嘸
筑	築
怿	懌
衔	銜
炼	煉
驿	駅
疯	瘋
鳞	鱗
二	貳
嘤	嚶
该	該
详	詳
鳏	鰥
钜	鉅
变	変
俩	倆
组	組
肃	粛
门	門
馒	饅
坛	壇
积	積
颚	顎
枫	楓
储	儲
为	為
缁	緇
络	絡
让	譲
夹	夾
专	專
瑶	瑤
蛏	蟶
绘	繪
绵	綿
终	終
写	寫
伤	傷
迳	逕
辽	遼
阵	陣
妆	妝
闸	閘
玺	璽
兽	獸
羁	羈
鸯	鴦
八	捌
键	鍵
驯	馴
帧	幀
滞	滯
贡	貢
轿	轎
妪	嫗
缒	縋
蓝	藍
鹳	鸛
膻	羶
运	運
舻	艫
铠	鎧
茑	蔦
澜	瀾
宾	賓
樱	櫻
觎	覦
铢	銖
亵	褻
蛲	蟯
箦	簀
婵	嬋
啸	嘯
摇	揺
猎	猟
觉	覚
将	將
蜕	蛻
觇	覘
题	題
换	換
购	購
奖	奨
轮	輪
检	検
聋	聾
谀	諛
捞	撈
劳	労
举	舉
蹑	躡
纡	紆
盐	塩
栎	櫟
侨	僑
鲛	鮫
垒	壘
鹉	鵡
着	著
译	訳
诛	誅
诬	誣
怂	慫
灵	靈
镂	鏤
缙	縉
鸿	鴻
涨	漲
癞	癩
东	東
壹	壱
搁	擱
腾	騰
鲭	鯖
槟	檳
馁	餒
妈	媽
诵	誦
讦	訐
诧	詫
畅	暢
啬	嗇
诋	詆
犹	猶
乘	乗
顾	顧
稻	稲
缕	縷
瓯	甌
嫔	嬪
个	個
颜	顔
缮	繕
冈	岡
饫	飫
枞	樅
铿	鏗
鳕	鱈
窜	竄
话	話
领	領
傩	儺
础	礎
侪	儕
习	習
钏	釧
挞	撻
恶	悪
签	簽
荤	葷
夺	奪
钥	鑰
结	結
较	較
纱	紗
赋	賦
谆	諄
朦	矇
轰	轟
涟	漣
饲	飼
开	開
鳔	鰾
朴	樸
荛	蕘
踬	躓
谑	謔
锐	鋭
肿	腫
嚣	囂
统	統
装	裝
辈	輩
泷	滝
恻	惻
级	級
萤	蛍
阴	陰
矫	矯
连	連
载	載
戏	戯
焕	煥
骏	駿
银	銀
赎	贖
历	歴
问	問
钧	鈞
浏	瀏
橹	櫓
缤	繽
贿	賄
徕	徠
鲣	鰹
铮	錚
网	網
轻	輕
缢	縊
赞	賛
综	綜
狮	獅
创	創
筝	箏
优	優
谗	讒
帼	幗
桧	檜
